Designator,Mid X,Mid Y,Rotation,Layer
CONN1,322.954492,-101.354278,267.5,top
D1,336.688431,-104.957224,352.5,top
D10,279.7066,-90.582685,0.0,top
D11,279.7066,-72.082685,0.0,top
D12,279.7066,-53.582685,0.0,top
D13,261.2066,-92.582685,0.0,top
D14,261.2066,-74.082685,0.0,top
D15,261.2066,-55.582685,0.0,top
D16,274.850277,-111.64179,18.5,top
D17,255.587699,-118.50284,15.0,top
D18,238.590403,-127.378164,15.0,top
D2,339.103165,-86.615494,352.5,top
D3,341.5179,-68.273765,352.5,top
D4,318.338609,-92.447459,357.5,top
D5,319.145568,-73.965066,357.5,top
D6,319.952526,-55.482674,357.5,top
D7,298.7066,-88.582685,0.0,top
D8,298.7066,-70.082685,0.0,top
D9,298.7066,-51.582685,0.0,top
H1,247.920531,-33.71654,0.0,top
H2,350.670531,-109.71654,0.0,top
H3,247.920531,-97.21654,0.0,top
S19,319.170531,-29.97854,0.0,top
SW1,262.170531,-34.21654,0.0,top
